Timecode,WinLose,WinProb,Trial,Condition,Time,Tot_spikes,Post_spikes
105655693,0,low,1,NonSocial,3224.35586547852,22,12
105849820,0,low,2,NonSocial,3230.28015136719,23,12
106043935,0,low,3,NonSocial,3236.20407104492,20,10
106238054,0,low,4,NonSocial,3242.12811279297,33,16
106432162,1,low,5,NonSocial,3248.05181884766,25,11
106749413,0,low,6,NonSocial,3257.73355102539,24,14
106943554,0,low,7,NonSocial,3263.65826416016,23,6
107137656,1,low,8,NonSocial,3269.58178710938,27,18
107331775,0,low,9,NonSocial,3275.50582885742,30,19
107525912,0,low,10,NonSocial,3281.43041992188,26,13
107720039,0,low,11,NonSocial,3287.35470581055,29,21
107914159,0,low,12,NonSocial,3293.27877807617,15,10
108108268,1,low,13,NonSocial,3299.20251464844,23,9
108302384,0,low,14,NonSocial,3305.12646484375,30,14
108496522,0,low,15,NonSocial,3311.05108642578,38,17
108690647,0,low,16,NonSocial,3316.9753112793,30,10
108884748,1,low,17,NonSocial,3322.89880371094,47,25
109078887,1,low,18,NonSocial,3328.82345581055,30,21
109273013,1,low,19,NonSocial,3334.74771118164,34,19
109467127,1,low,20,NonSocial,3340.6716003418,43,26
109782180,0,low,21,NonSocial,3350.28625488281,33,21
109976315,0,low,22,NonSocial,3356.21078491211,30,15
110170421,1,low,23,NonSocial,3362.13442993164,25,12
110364567,1,low,24,NonSocial,3368.0592956543,26,10
110558664,0,low,25,NonSocial,3373.98266601562,40,17
110752806,0,low,26,NonSocial,3379.90740966797,32,16
110946905,1,low,27,NonSocial,3385.83084106445,13,8
111141046,1,low,28,NonSocial,3391.75555419922,24,8
111335169,1,low,29,NonSocial,3397.67971801758,32,16
111529269,0,low,30,NonSocial,3403.60317993164,16,11
111723411,0,low,31,NonSocial,3409.52792358398,14,7
111917532,0,low,32,NonSocial,3415.45202636719,17,9
112111653,0,low,33,NonSocial,3421.37612915039,25,14
112305775,0,low,34,NonSocial,3427.30026245117,26,13
112499894,0,low,35,NonSocial,3433.22430419922,24,13
112694017,0,low,36,NonSocial,3439.14846801758,23,15
112888138,0,low,37,NonSocial,3445.07257080078,33,16
113082259,0,low,38,NonSocial,3450.99667358398,33,18
113276380,0,low,39,NonSocial,3456.92077636719,27,13
113470483,1,low,40,NonSocial,3462.84432983398,37,24
113664601,0,low,41,NonSocial,3468.76834106445,25,11
113858744,0,low,42,NonSocial,3474.69311523438,17,8
114052843,1,low,43,NonSocial,3480.61654663086,22,12
114246965,0,low,44,NonSocial,3486.54067993164,25,7
114441110,0,low,45,NonSocial,3492.46551513672,34,14
96021443,1,med,1,NonSocial,2930.34188842773,19,10
96215544,0,med,2,NonSocial,2936.26538085938,25,11
96409664,1,med,3,NonSocial,2942.189453125,25,16
96603789,0,med,4,NonSocial,2948.11367797852,13,5
96797927,0,med,5,NonSocial,2954.03829956055,20,7
97119006,0,med,6,NonSocial,2963.83685302734,13,5
97313130,0,med,7,NonSocial,2969.76104736328,21,8
97507249,0,med,8,NonSocial,2975.68508911133,25,13
97701369,0,med,9,NonSocial,2981.60916137695,10,1
97895470,1,med,10,NonSocial,2987.53265380859,19,10
98089610,1,med,11,NonSocial,2993.45733642578,12,7
98283732,1,med,12,NonSocial,2999.38146972656,20,12
98477834,0,med,13,NonSocial,3005.30499267578,23,12
98671954,1,med,14,NonSocial,3011.22906494141,29,15
98866078,0,med,15,NonSocial,3017.15325927734,20,6
99060217,0,med,16,NonSocial,3023.07791137695,34,10
99254318,1,med,17,NonSocial,3029.00140380859,20,12
99448459,1,med,18,NonSocial,3034.92611694336,17,7
99642583,1,med,19,NonSocial,3040.8503112793,15,12
99836698,1,med,20,NonSocial,3046.77423095703,25,10
100092254,1,med,21,NonSocial,3054.57318115234,17,12
100286354,0,med,22,NonSocial,3060.49664306641,30,18
100480491,0,med,23,NonSocial,3066.42123413086,31,17
100674613,0,med,24,NonSocial,3072.34536743164,28,11
100868739,0,med,25,NonSocial,3078.26962280273,18,6
101062859,0,med,26,NonSocial,3084.19369506836,26,18
101256981,0,med,27,NonSocial,3090.11782836914,16,12
101451102,0,med,28,NonSocial,3096.04193115234,27,14
101645202,1,med,29,NonSocial,3101.96539306641,25,12
101839323,0,med,30,NonSocial,3107.88949584961,39,18
102033464,0,med,31,NonSocial,3113.81420898438,22,7
102227567,1,med,32,NonSocial,3119.73776245117,23,10
102421686,0,med,33,NonSocial,3125.66180419922,23,15
102615828,0,med,34,NonSocial,3131.58654785156,18,9
102809927,1,med,35,NonSocial,3137.50997924805,28,17
103004070,1,med,36,NonSocial,3143.43475341797,32,13
103198197,1,med,37,NonSocial,3149.35903930664,25,11
103392313,1,med,38,NonSocial,3155.28298950195,33,12
103586432,1,med,39,NonSocial,3161.20703125,27,15
103780535,0,med,40,NonSocial,3167.1305847168,21,10
103974672,0,med,41,NonSocial,3173.05517578125,51,19
104168798,0,med,42,NonSocial,3178.97943115234,18,10
104362899,1,med,43,NonSocial,3184.90292358398,30,15
104557020,0,med,44,NonSocial,3190.82702636719,30,16
104751159,0,med,45,NonSocial,3196.7516784668,24,12
86415025,1,high,1,NonSocial,2637.17727661133,28,11
86609165,1,high,2,NonSocial,2643.10195922852,25,11
86803284,1,high,3,NonSocial,2649.02600097656,17,7
86997406,1,high,4,NonSocial,2654.95013427734,19,11
87191506,0,high,5,NonSocial,2660.87359619141,26,10
87522141,1,high,6,NonSocial,2670.96377563477,17,7
87716261,0,high,7,NonSocial,2676.88784790039,15,5
87910403,0,high,8,NonSocial,2682.81259155273,25,13
88104523,0,high,9,NonSocial,2688.73666381836,24,12
88298624,1,high,10,NonSocial,2694.66015625,21,13
88492774,1,high,11,NonSocial,2700.58514404297,29,17
88686890,1,high,12,NonSocial,2706.50909423828,19,9
88881015,1,high,13,NonSocial,2712.4333190918,25,11
89075126,1,high,14,NonSocial,2718.35711669922,18,6
89269230,0,high,15,NonSocial,2724.28070068359,20,9
89463367,0,high,16,NonSocial,2730.20529174805,19,4
89657494,0,high,17,NonSocial,2736.12957763672,31,23
89851616,0,high,18,NonSocial,2742.0537109375,47,21
90045714,1,high,19,NonSocial,2747.97711181641,34,14
90239837,0,high,20,NonSocial,2753.90127563477,27,13
90533907,0,high,21,NonSocial,2762.87557983398,21,9
90728004,1,high,22,NonSocial,2768.79895019531,19,9
90922126,0,high,23,NonSocial,2774.72308349609,39,19
91116266,0,high,24,NonSocial,2780.64776611328,38,20
91310388,0,high,25,NonSocial,2786.57189941406,34,18
91504511,0,high,26,NonSocial,2792.49606323242,37,20
91698611,1,high,27,NonSocial,2798.41952514648,31,17
91892732,0,high,28,NonSocial,2804.34362792969,19,12
92086853,1,high,29,NonSocial,2810.26773071289,21,9
92280990,1,high,30,NonSocial,2816.19232177734,22,9
92475115,1,high,31,NonSocial,2822.11654663086,28,13
92669238,1,high,32,NonSocial,2828.04071044922,30,12
92863358,1,high,33,NonSocial,2833.96478271484,25,9
93057480,1,high,34,NonSocial,2839.88891601562,31,15
93251599,1,high,35,NonSocial,2845.81295776367,28,13
93445720,1,high,36,NonSocial,2851.73706054688,31,18
93639823,0,high,37,NonSocial,2857.66061401367,26,11
93833943,1,high,38,NonSocial,2863.5846862793,21,14
94028063,0,high,39,NonSocial,2869.50875854492,36,12
94222207,0,high,40,NonSocial,2875.43356323242,40,19
94416306,1,high,41,NonSocial,2881.35699462891,22,8
94610447,1,high,42,NonSocial,2887.28170776367,16,7
94804567,1,high,43,NonSocial,2893.2057800293,17,8
94998668,0,high,44,NonSocial,2899.12927246094,19,9
95192790,1,high,45,NonSocial,2905.05340576172,30,17
16554455,0,low,1,Social,505.201873779297,25,13
16748497,0,low,2,Social,511.123565673828,28,15
16942624,0,low,3,Social,517.0478515625,16,3
17136742,0,low,4,Social,522.971862792969,23,13
17330896,1,low,5,Social,528.89697265625,37,26
17785154,0,low,6,Social,542.759826660156,24,12
17979279,1,low,7,Social,548.684051513672,28,19
18173400,0,low,8,Social,554.608154296875,27,14
18367542,0,low,9,Social,560.532897949219,13,4
18561663,0,low,10,Social,566.457000732422,14,9
18755788,0,low,11,Social,572.381225585938,18,11
18949904,0,low,12,Social,578.30517578125,25,15
19144027,0,low,13,Social,584.229339599609,18,8
19338140,0,low,14,Social,590.153198242188,24,19
19532273,0,low,15,Social,596.077667236328,27,11
19726369,1,low,16,Social,602.001007080078,29,20
19920491,0,low,17,Social,607.925140380859,16,9
20114631,0,low,18,Social,613.849822998047,26,17
20308753,0,low,19,Social,619.773956298828,17,7
20502869,0,low,20,Social,625.697906494141,28,13
20860266,0,low,21,Social,636.604797363281,33,16
21054387,0,low,22,Social,642.528900146484,37,15
21248507,0,low,23,Social,648.452972412109,29,10
21442625,0,low,24,Social,654.376983642578,14,8
21636748,0,low,25,Social,660.301147460938,23,8
21830870,0,low,26,Social,666.225280761719,26,13
22024992,0,low,27,Social,672.1494140625,35,18
22219091,1,low,28,Social,678.072845458984,26,16
22413234,1,low,29,Social,683.997619628906,25,13
22607334,0,low,30,Social,689.921081542969,20,12
22801475,0,low,31,Social,695.845794677734,22,14
22995596,0,low,32,Social,701.769897460938,23,12
23189698,1,low,33,Social,707.693420410156,26,11
23383818,0,low,34,Social,713.617492675781,31,15
23577960,0,low,35,Social,719.542236328125,20,11
23772082,0,low,36,Social,725.466369628906,19,7
23966205,0,low,37,Social,731.390533447266,28,13
24160324,0,low,38,Social,737.314575195312,30,16
24354444,0,low,39,Social,743.238647460938,25,11
24548559,0,low,40,Social,749.162567138672,25,11
24742666,1,low,41,Social,755.086242675781,23,10
24936786,0,low,42,Social,761.010314941406,25,7
25130929,0,low,43,Social,766.935089111328,26,12
25325051,0,low,44,Social,772.859222412109,24,13
25519171,0,low,45,Social,778.783294677734,33,12
71925835,0,low,46,Social,2195.00228881836,39,27
72119975,0,low,47,Social,2200.92697143555,44,22
72314099,0,low,48,Social,2206.85116577148,36,21
72508219,0,low,49,Social,2212.77523803711,26,13
72702317,1,low,50,Social,2218.69863891602,23,14
73091399,1,low,51,Social,2230.57247924805,23,11
73285499,0,low,52,Social,2236.49594116211,27,13
73479622,1,low,53,Social,2242.42010498047,18,8
73673764,1,low,54,Social,2248.34484863281,22,11
73867880,1,low,55,Social,2254.26879882812,29,17
