Timecode,WinLose,WinProb,Trial,Condition,Time,Tot_spikes,Post_spikes
229593107,1,high,23,NonSocial,7006.62557983398,12,8
229787204,0,high,24,NonSocial,7012.54895019531,9,6
229981326,1,high,25,NonSocial,7018.47308349609,18,10
230175474,1,high,26,NonSocial,7024.39801025391,11,7
230369567,0,high,27,NonSocial,7030.32125854492,16,6
230563692,1,high,28,NonSocial,7036.24548339844,16,8
230757839,1,high,29,NonSocial,7042.17037963867,7,3
230951957,1,high,30,NonSocial,7048.09439086914,16,8
231146076,1,high,31,NonSocial,7054.01843261719,14,8
231340184,0,high,32,NonSocial,7059.94213867188,31,11
231534294,1,high,33,NonSocial,7065.86590576172,20,5
231728442,1,high,34,NonSocial,7071.79083251953,25,5
231922559,1,high,35,NonSocial,7077.71481323242,25,4
232116687,1,high,36,NonSocial,7083.63912963867,8,4
232310810,1,high,37,NonSocial,7089.56329345703,10,6
232504899,0,high,38,NonSocial,7095.48641967773,16,8
232699020,1,high,39,NonSocial,7101.41052246094,19,7
232893141,0,high,40,NonSocial,7107.33462524414,12,4
233087264,1,high,41,NonSocial,7113.2587890625,13,7
233281407,1,high,42,NonSocial,7119.18356323242,21,7
233475532,1,high,43,NonSocial,7125.10778808594,19,4
233669654,1,high,44,NonSocial,7131.03192138672,25,10
233913437,0,high,45,NonSocial,7138.47158813477,18,6
172277167,0,low,1,Social,5257.48190307617,12,6
172471287,0,low,2,Social,5263.4059753418,14,8
172665411,0,low,3,Social,5269.33016967773,9,3
172859532,0,low,4,Social,5275.25427246094,14,9
173053654,0,low,5,Social,5281.17840576172,12,7
173397120,0,low,6,Social,5291.66015625,5,4
173591241,0,low,7,Social,5297.5842590332,12,4
173785360,0,low,8,Social,5303.50830078125,7,4
173979482,0,low,9,Social,5309.43243408203,10,5
174173577,1,low,10,Social,5315.3557434082,17,11
174367697,0,low,11,Social,5321.27981567383,15,6
174561847,0,low,12,Social,5327.2048034668,16,11
174755963,0,low,13,Social,5333.12875366211,22,14
174950092,0,low,14,Social,5339.05310058594,24,12
175144206,0,low,15,Social,5344.97698974609,14,6
175338330,0,low,16,Social,5350.90118408203,29,14
175532449,0,low,17,Social,5356.82522583008,27,8
175726545,1,low,18,Social,5362.74856567383,20,10
175920665,0,low,19,Social,5368.67263793945,12,7
176114786,1,low,20,Social,5374.59674072266,26,15
176397368,0,low,21,Social,5383.22045898438,14,9
176591518,0,low,22,Social,5389.14544677734,25,9
176785636,0,low,23,Social,5395.06945800781,15,8
176979734,1,low,24,Social,5400.99285888672,18,8
177173852,0,low,25,Social,5406.91687011719,14,6
177368003,0,low,26,Social,5412.84188842773,15,6
177562123,0,low,27,Social,5418.76596069336,23,9
177756241,0,low,28,Social,5424.68997192383,20,10
177950360,0,low,29,Social,5430.61401367188,16,8
178144483,0,low,30,Social,5436.53817749023,14,3
178338580,1,low,31,Social,5442.46154785156,22,14
178532699,0,low,32,Social,5448.38558959961,15,7
178726820,1,low,33,Social,5454.30969238281,22,4
178920941,0,low,34,Social,5460.23379516602,23,12
179115089,0,low,35,Social,5466.15872192383,12,3
179309208,0,low,36,Social,5472.08276367188,10,4
179503334,0,low,37,Social,5478.00701904297,17,7
179697454,0,low,38,Social,5483.93109130859,15,5
179891570,0,low,39,Social,5489.85504150391,12,4
180085696,0,low,40,Social,5495.779296875,13,8
180279812,0,low,41,Social,5501.70324707031,20,15
180473935,0,low,42,Social,5507.62741088867,11,7
180668052,0,low,43,Social,5513.55139160156,21,10
180862175,0,low,44,Social,5519.47555541992,8,5
181056296,0,low,45,Social,5525.39965820312,17,9
185666591,0,low,46,Social,5666.09469604492,6,4
185860727,0,low,47,Social,5672.0192565918,12,9
186054853,0,low,48,Social,5677.94351196289,10,4
186248967,0,low,49,Social,5683.86740112305,15,12
186443090,0,low,50,Social,5689.79156494141,8,5
186746967,0,low,51,Social,5699.0651550293,15,6
186941061,1,low,52,Social,5704.98843383789,13,8
187135182,0,low,53,Social,5710.91253662109,19,4
187329331,0,low,54,Social,5716.83749389648,37,21
187523448,0,low,55,Social,5722.76147460938,19,14
187717570,0,low,56,Social,5728.68560791016,18,7
187911701,0,low,57,Social,5734.61001586914,22,6
188105787,1,low,58,Social,5740.53305053711,21,8
188299907,0,low,59,Social,5746.45712280273,17,8
188494028,1,low,60,Social,5752.38122558594,6,4
188688175,1,low,61,Social,5758.30612182617,19,7
188882271,0,low,62,Social,5764.22946166992,20,10
189076415,0,low,63,Social,5770.15426635742,12,9
189270539,0,low,64,Social,5776.07846069336,11,2
189464633,1,low,65,Social,5782.00173950195,17,7
189758707,1,low,66,Social,5790.97616577148,22,8
189952803,0,low,67,Social,5796.89950561523,23,16
190146950,0,low,68,Social,5802.82440185547,28,17
190341070,0,low,69,Social,5808.74847412109,16,6
190535191,0,low,70,Social,5814.6725769043,19,6
190729314,0,low,71,Social,5820.59674072266,21,7
190923432,0,low,72,Social,5826.52075195312,20,7
191117556,0,low,73,Social,5832.44494628906,7,6
191311673,0,low,74,Social,5838.36892700195,20,5
191505797,0,low,75,Social,5844.29312133789,11,8
191699917,0,low,76,Social,5850.21719360352,11,9
191894013,1,low,77,Social,5856.14053344727,34,19
192088160,1,low,78,Social,5862.0654296875,12,6
192282256,0,low,79,Social,5867.98876953125,18,9
192476395,0,low,80,Social,5873.91342163086,20,6
192670497,1,low,81,Social,5879.83694458008,17,8
192864645,1,low,82,Social,5885.76187133789,17,11
193058740,0,low,83,Social,5891.68518066406,18,9
193252862,1,low,84,Social,5897.60931396484,19,8
193446981,0,low,85,Social,5903.53335571289,15,8
193641127,0,low,86,Social,5909.45822143555,10,3
193835223,1,low,87,Social,5915.3815612793,28,9
194029345,0,low,88,Social,5921.30569458008,35,16
194223465,1,low,89,Social,5927.2297668457,19,9
194417587,0,low,90,Social,5933.15390014648,12,4
153308488,1,med,1,Social,4678.60375976562,16,10
153502560,0,med,2,Social,4684.5263671875,24,9
153696703,0,med,3,Social,4690.45114135742,25,14
154297631,0,med,4,Social,4708.79000854492,9,4
154493996,0,med,5,Social,4714.78259277344,18,9
154688059,0,med,6,Social,4720.70492553711,12,8
154882154,1,med,7,Social,4726.62823486328,17,9
155076275,0,med,8,Social,4732.55233764648,17,17
155270396,1,med,9,Social,4738.47644042969,24,17
155464521,0,med,10,Social,4744.4006652832,15,10
155658663,0,med,11,Social,4750.32540893555,13,10
155852760,1,med,12,Social,4756.24877929688,20,8
156046880,0,med,13,Social,4762.1728515625,17,10
156241029,0,med,14,Social,4768.09780883789,20,9
156435147,0,med,15,Social,4774.02182006836,12,6
156629270,0,med,16,Social,4779.94598388672,18,9
156823386,0,med,17,Social,4785.86993408203,17,9
157017516,0,med,18,Social,4791.79431152344,16,11
157274153,0,med,19,Social,4799.6262512207,9,4
157468250,1,med,20,Social,4805.54962158203,18,11
157662399,1,med,21,Social,4811.47457885742,14,8
157856517,1,med,22,Social,4817.39859008789,15,10
158050612,0,med,23,Social,4823.32189941406,13,8
158244733,1,med,24,Social,4829.24600219727,11,4
158438879,1,med,25,Social,4835.17086791992,15,9
158633004,1,med,26,Social,4841.09509277344,16,7
158827099,0,med,27,Social,4847.01840209961,17,10
159021247,0,med,28,Social,4852.94332885742,13,4
159215373,0,med,29,Social,4858.86758422852,14,7
159409484,0,med,30,Social,4864.79138183594,18,8
159603582,1,med,31,Social,4870.71478271484,17,8
159797730,1,med,32,Social,4876.63970947266,20,12
159991847,1,med,33,Social,4882.56369018555,19,6
160185943,0,med,34,Social,4888.4870300293,16,5
160380090,0,med,35,Social,4894.41192626953,12,7
160574185,1,med,36,Social,4900.3352355957,19,10
160768306,0,med,37,Social,4906.25933837891,10,6
160962427,1,med,38,Social,4912.18344116211,12,6
161156548,0,med,39,Social,4918.10754394531,16,5
161350695,0,med,40,Social,4924.03244018555,20,9
161544790,1,med,41,Social,4929.95574951172,18,11
161738937,1,med,42,Social,4935.88064575195,12,5
161933033,0,med,43,Social,4941.8039855957,12,7
195341778,1,med,44,Social,5961.35797119141,21,16
195535898,0,med,45,Social,5967.28204345703,19,8
195730019,1,med,46,Social,5973.20614624023,16,6
195924140,0,med,47,Social,5979.13024902344,15,8
196118285,0,med,48,Social,5985.05508422852,24,11
196405509,0,med,49,Social,5993.82046508789,13,8
196599631,0,med,50,Social,5999.74459838867,20,13
196793753,0,med,51,Social,6005.66873168945,10,5
196987847,1,med,52,Social,6011.59201049805,18,8
197181968,0,med,53,Social,6017.51611328125,17,7
197376089,1,med,54,Social,6023.44021606445,15,7
197570233,1,med,55,Social,6029.36502075195,16,9
197764331,0,med,56,Social,6035.28842163086,13,3
197958478,0,med,57,Social,6041.21331787109,20,10
198152574,1,med,58,Social,6047.13665771484,14,4
198346720,1,med,59,Social,6053.0615234375,22,13
198540842,1,med,60,Social,6058.98565673828,19,9
198734962,1,med,61,Social,6064.90972900391,18,8
198929058,0,med,62,Social,6070.83306884766,17,10
199123179,1,med,63,Social,6076.75717163086,32,20
199382281,0,med,64,Social,6084.6643371582,21,11
199576401,1,med,65,Social,6090.58840942383,16,10
199770547,1,med,66,Social,6096.51327514648,23,10
199964643,0,med,67,Social,6102.43661499023,18,12
200158788,0,med,68,Social,6108.36145019531,12,8
200352887,1,med,69,Social,6114.2848815918,21,7
200547030,1,med,70,Social,6120.20965576172,16,7
200741126,0,med,71,Social,6126.13299560547,24,10
200935247,1,med,72,Social,6132.05709838867,15,6
201129370,0,med,73,Social,6137.98126220703,24,10
201323518,0,med,74,Social,6143.90618896484,23,11
201517611,1,med,75,Social,6149.82943725586,17,6
201711732,0,med,76,Social,6155.75354003906,21,12
201905854,1,med,77,Social,6161.67767333984,14,8
202099998,1,med,78,Social,6167.60247802734,14,6
202294095,0,med,79,Social,6173.52584838867,19,9
202488216,1,med,80,Social,6179.44995117188,20,9
202682337,0,med,81,Social,6185.37405395508,17,6
202876482,0,med,82,Social,6191.29888916016,20,9
203070579,1,med,83,Social,6197.22225952148,16,8
203264725,1,med,84,Social,6203.14712524414,15,2
203458846,1,med,85,Social,6209.07122802734,22,15
203652942,0,med,86,Social,6214.99456787109,18,10
203847092,0,med,87,Social,6220.91955566406,19,10
204041184,1,med,88,Social,6226.8427734375,17,11
162695320,1,high,1,Social,4965.06713867188,16,12
162889471,1,high,2,Social,4970.99215698242,13,6
163083589,1,high,3,Social,4976.91616821289,11,8
163277708,1,high,4,Social,4982.84020996094,16,5
163471825,1,high,5,Social,4988.76419067383,14,5
163736390,1,high,6,Social,4996.83807373047,17,12
163930512,1,high,7,Social,5002.76220703125,15,7
164124635,1,high,8,Social,5008.68637084961,18,6
164318751,1,high,9,Social,5014.61032104492,13,7
164512873,1,high,10,Social,5020.5344543457,12,8
164706994,1,high,11,Social,5026.45855712891,8,3
164901117,1,high,12,Social,5032.38272094727,14,6
165095237,1,high,13,Social,5038.30679321289,19,15
165289358,1,high,14,Social,5044.23089599609,14,5
165483481,1,high,15,Social,5050.15505981445,19,5
165677600,1,high,16,Social,5056.0791015625,19,11
165871696,0,high,17,Social,5062.00244140625,13,11
166065817,1,high,18,Social,5067.92654418945,23,13
166259937,0,high,19,Social,5073.85061645508,24,16
166454087,0,high,20,Social,5079.77560424805,33,16
166753029,1,high,21,Social,5088.89859008789,22,16
166947168,1,high,22,Social,5094.8232421875,28,16
167141286,1,high,23,Social,5100.74725341797,10,7
167335387,0,high,24,Social,5106.67074584961,21,9
167529505,1,high,25,Social,5112.59475708008,14,8
167723626,0,high,26,Social,5118.51885986328,12,8
167917773,0,high,27,Social,5124.44375610352,13,7
168111868,1,high,28,Social,5130.36706542969,23,12
168306015,1,high,29,Social,5136.29196166992,18,6
168500138,1,high,30,Social,5142.21612548828,24,8
168694252,1,high,31,Social,5148.14001464844,16,11
168888352,0,high,32,Social,5154.0634765625,26,17
169082473,1,high,33,Social,5159.9875793457,14,5
169276594,0,high,34,Social,5165.91168212891,24,12
169470715,1,high,35,Social,5171.83578491211,18,12
169664863,1,high,36,Social,5177.76071166992,15,5
169858985,1,high,37,Social,5183.6848449707,15,7
170053105,1,high,38,Social,5189.60891723633,13,6
170247224,1,high,39,Social,5195.53295898438,18,9
170441347,1,high,40,Social,5201.45712280273,24,13
170635467,1,high,41,Social,5207.38119506836,18,13
170829562,0,high,42,Social,5213.30450439453,21,11
171023707,0,high,43,Social,5219.22933959961,27,20
171217804,1,high,44,Social,5225.15270996094,20,12
171411925,0,high,45,Social,5231.07681274414,20,6
204598454,1,high,46,Social,6243.84930419922,14,7
204792572,1,high,47,Social,6249.77331542969,9,3
204986699,1,high,48,Social,6255.69760131836,15,7
205180814,1,high,49,Social,6261.62152099609,14,9
205374937,1,high,50,Social,6267.54568481445,14,5
205623665,1,high,51,Social,6275.13626098633,19,9
205817761,0,high,52,Social,6281.05960083008,11,8
206011909,0,high,53,Social,6286.98452758789,21,11
206206030,0,high,54,Social,6292.90863037109,17,9
206400147,0,high,55,Social,6298.83261108398,19,11
206594244,1,high,56,Social,6304.75598144531,14,6
206788365,0,high,57,Social,6310.68008422852,16,8
206982514,0,high,58,Social,6316.60504150391,19,14
207176609,1,high,59,Social,6322.52835083008,21,11
207370756,1,high,60,Social,6328.45324707031,24,11
207564878,1,high,61,Social,6334.37738037109,11,3
207758995,1,high,62,Social,6340.30136108398,15,8
207953116,1,high,63,Social,6346.22546386719,14,9
208147238,1,high,64,Social,6352.14959716797,16,9
208341366,1,high,65,Social,6358.07391357422,10,7
208625021,0,high,66,Social,6366.73037719727,9,5
208819153,0,high,67,Social,6372.65481567383,9,6
209013249,1,high,68,Social,6378.57815551758,14,4
209207397,1,high,69,Social,6384.50308227539,17,10
209401516,1,high,70,Social,6390.42712402344,27,18
209595637,1,high,71,Social,6396.35122680664,14,7
209789760,1,high,72,Social,6402.275390625,7,5
209983878,1,high,73,Social,6408.19940185547,13,5
210177999,1,high,74,Social,6414.12350463867,11,9
210372122,1,high,75,Social,6420.04766845703,14,8
210566243,1,high,76,Social,6425.97177124023,16,10
210760363,1,high,77,Social,6431.89584350586,30,12
210954460,0,high,78,Social,6437.81921386719,22,14
211148581,1,high,79,Social,6443.74331665039,22,11
211342702,0,high,80,Social,6449.66741943359,18,12
211536848,0,high,81,Social,6455.59228515625,15,7
211730944,1,high,82,Social,6461.515625,21,13
211925090,1,high,83,Social,6467.44049072266,24,15
212119211,1,high,84,Social,6473.36459350586,14,7
212313333,1,high,85,Social,6479.28872680664,16,7
212507453,1,high,86,Social,6485.21279907227,32,20
212701576,1,high,87,Social,6491.13696289062,16,10
212895696,1,high,88,Social,6497.06103515625,17,6
213089822,1,high,89,Social,6502.98529052734,18,13
213283936,1,high,90,Social,6508.9091796875,25,18
