Timecode,WinLose,WinProb,Trial,Condition,Time,Tot_spikes,Post_spikes
100577469,0,low,1,NonSocial,3069.38076782227,3,0
100771620,0,low,2,NonSocial,3075.30578613281,3,1
100965739,0,low,3,NonSocial,3081.22982788086,1,0
101159859,0,low,4,NonSocial,3087.15390014648,1,1
101353958,1,low,5,NonSocial,3093.07733154297,1,1
101595583,0,low,6,NonSocial,3100.45114135742,1,1
101789704,1,low,7,NonSocial,3106.37524414062,5,5
101983825,0,low,8,NonSocial,3112.29934692383,3,1
102177972,0,low,9,NonSocial,3118.22424316406,2,1
102372093,0,low,10,NonSocial,3124.14834594727,7,5
102566218,0,low,11,NonSocial,3130.07257080078,2,1
102760336,0,low,12,NonSocial,3135.99658203125,0,0
102954456,0,low,13,NonSocial,3141.92065429688,1,1
103148578,0,low,14,NonSocial,3147.84478759766,0,0
103342700,0,low,15,NonSocial,3153.76892089844,0,0
103536820,0,low,16,NonSocial,3159.69299316406,1,0
103730943,0,low,17,NonSocial,3165.61715698242,3,2
103925036,1,low,18,NonSocial,3171.54040527344,4,4
104119158,0,low,19,NonSocial,3177.46453857422,0,0
104313278,1,low,20,NonSocial,3183.38861083984,4,3
104548627,0,low,21,NonSocial,3190.57089233398,2,2
104742777,0,low,22,NonSocial,3196.49588012695,0,0
104936894,0,low,23,NonSocial,3202.41986083984,7,4
105130989,1,low,24,NonSocial,3208.34317016602,0,0
105325111,0,low,25,NonSocial,3214.2673034668,5,2
105519232,1,low,26,NonSocial,3220.19140625,4,2
105713354,0,low,27,NonSocial,3226.11553955078,0,0
105907501,0,low,28,NonSocial,3232.04043579102,1,1
106101621,0,low,29,NonSocial,3237.96450805664,3,0
106295716,1,low,30,NonSocial,3243.88781738281,2,1
106489838,0,low,31,NonSocial,3249.81195068359,2,0
106683986,0,low,32,NonSocial,3255.73687744141,2,1
106878107,0,low,33,NonSocial,3261.66098022461,6,5
107072203,1,low,34,NonSocial,3267.58432006836,4,3
107266342,1,low,35,NonSocial,3273.50897216797,4,1
107460443,0,low,36,NonSocial,3279.43246459961,6,3
107654590,0,low,37,NonSocial,3285.35736083984,1,0
107848685,1,low,38,NonSocial,3291.28067016602,5,2
108042807,0,low,39,NonSocial,3297.2048034668,7,4
108236954,0,low,40,NonSocial,3303.12969970703,3,3
108431049,1,low,41,NonSocial,3309.0530090332,8,4
108625170,0,low,42,NonSocial,3314.97711181641,2,2
108819317,0,low,43,NonSocial,3320.90200805664,4,2
109013437,0,low,44,NonSocial,3326.82608032227,0,0
109207533,1,low,45,NonSocial,3332.74942016602,6,4
118861194,1,med,1,NonSocial,3627.35577392578,0,0
119055288,0,med,2,NonSocial,3633.27905273438,0,0
119249409,1,med,3,NonSocial,3639.20315551758,1,0
119443531,0,med,4,NonSocial,3645.12728881836,2,2
119637652,1,med,5,NonSocial,3651.05139160156,0,0
119893502,1,med,6,NonSocial,3658.85931396484,3,2
120087601,0,med,7,NonSocial,3664.78274536133,0,0
120281745,0,med,8,NonSocial,3670.70755004883,2,1
120475840,1,med,9,NonSocial,3676.630859375,1,1
120669987,1,med,10,NonSocial,3682.55575561523,4,1
120864113,1,med,11,NonSocial,3688.48001098633,3,1
121058230,1,med,12,NonSocial,3694.40399169922,0,0
121252350,1,med,13,NonSocial,3700.32806396484,6,6
121446471,1,med,14,NonSocial,3706.25216674805,0,0
121640566,0,med,15,NonSocial,3712.17547607422,4,3
121834687,1,med,16,NonSocial,3718.09957885742,1,1
122028809,0,med,17,NonSocial,3724.0237121582,0,0
122222930,1,med,18,NonSocial,3729.94781494141,5,1
122417076,1,med,19,NonSocial,3735.87268066406,4,1
122611198,1,med,20,NonSocial,3741.79681396484,0,0
122870026,1,med,21,NonSocial,3749.69561767578,4,3
123064121,0,med,22,NonSocial,3755.61892700195,4,4
123258268,0,med,23,NonSocial,3761.54382324219,11,5
123452363,1,med,24,NonSocial,3767.46713256836,5,4
123646511,1,med,25,NonSocial,3773.39205932617,6,1
123840606,0,med,26,NonSocial,3779.31536865234,0,0
124034753,0,med,27,NonSocial,3785.24026489258,2,1
124228874,0,med,28,NonSocial,3791.16436767578,1,1
124422995,0,med,29,NonSocial,3797.08847045898,3,1
124617090,1,med,30,NonSocial,3803.01177978516,2,1
124811237,1,med,31,NonSocial,3808.93667602539,2,0
125005332,0,med,32,NonSocial,3814.85998535156,2,0
125199454,1,med,33,NonSocial,3820.78411865234,6,4
125393605,1,med,34,NonSocial,3826.70913696289,3,1
125587696,0,med,35,NonSocial,3832.63232421875,1,0
125781817,1,med,36,NonSocial,3838.55642700195,1,0
125975938,0,med,37,NonSocial,3844.48052978516,3,3
126170085,0,med,38,NonSocial,3850.40542602539,4,1
126364180,1,med,39,NonSocial,3856.32873535156,0,0
126558301,0,med,40,NonSocial,3862.25283813477,7,1
126752422,1,med,41,NonSocial,3868.17694091797,2,1
126946569,1,med,42,NonSocial,3874.1018371582,2,1
127140690,1,med,43,NonSocial,3880.02593994141,3,2
127334804,1,med,44,NonSocial,3885.94982910156,1,1
127528907,0,med,45,NonSocial,3891.87338256836,1,0
109725216,1,high,1,NonSocial,3348.5478515625,0,0
109919337,1,high,2,NonSocial,3354.4719543457,5,3
110113458,1,high,3,NonSocial,3360.39605712891,3,1
110307579,1,high,4,NonSocial,3366.32015991211,4,1
110501699,1,high,5,NonSocial,3372.24423217773,1,1
110730776,1,high,6,NonSocial,3379.23510742188,0,0
110924891,1,high,7,NonSocial,3385.15902709961,1,0
111119011,1,high,8,NonSocial,3391.08309936523,0,0
111313130,1,high,9,NonSocial,3397.00714111328,9,6
111507252,1,high,10,NonSocial,3402.93127441406,5,1
111701350,0,high,11,NonSocial,3408.85467529297,6,6
111895469,1,high,12,NonSocial,3414.77871704102,6,1
112089615,1,high,13,NonSocial,3420.70358276367,8,4
112283740,1,high,14,NonSocial,3426.62780761719,3,1
112477859,1,high,15,NonSocial,3432.55184936523,0,0
112671953,0,high,16,NonSocial,3438.47512817383,0,0
112866101,0,high,17,NonSocial,3444.40005493164,1,0
113060195,1,high,18,NonSocial,3450.32333374023,3,3
113254344,1,high,19,NonSocial,3456.24829101562,1,1
113448464,1,high,20,NonSocial,3462.17236328125,1,0
113719578,1,high,21,NonSocial,3470.44610595703,9,3
113913701,1,high,22,NonSocial,3476.37026977539,0,0
114107821,1,high,23,NonSocial,3482.29434204102,4,0
114301941,1,high,24,NonSocial,3488.21841430664,0,0
114496062,1,high,25,NonSocial,3494.14251708984,0,0
114690185,1,high,26,NonSocial,3500.0666809082,5,0
114884304,1,high,27,NonSocial,3505.99072265625,0,0
115078426,1,high,28,NonSocial,3511.91485595703,7,3
115272547,1,high,29,NonSocial,3517.83895874023,2,0
115466663,1,high,30,NonSocial,3523.76290893555,6,2
115660788,1,high,31,NonSocial,3529.68713378906,5,3
115854910,1,high,32,NonSocial,3535.61126708984,0,0
116049035,1,high,33,NonSocial,3541.53549194336,4,4
116243152,1,high,34,NonSocial,3547.45947265625,0,0
116437247,0,high,35,NonSocial,3553.38278198242,0,0
116631370,1,high,36,NonSocial,3559.30694580078,2,2
116825514,1,high,37,NonSocial,3565.23175048828,2,1
117019611,0,high,38,NonSocial,3571.15512084961,0,0
117213733,1,high,39,NonSocial,3577.07925415039,1,0
117407878,1,high,40,NonSocial,3583.00408935547,4,3
117601999,1,high,41,NonSocial,3588.92819213867,0,0
117796121,1,high,42,NonSocial,3594.85232543945,1,1
117990242,1,high,43,NonSocial,3600.77642822266,7,3
118184337,0,high,44,NonSocial,3606.69973754883,2,2
118378459,1,high,45,NonSocial,3612.62387084961,3,2
44312953,0,low,1,Social,1352.32400512695,0,0
44507074,0,low,2,Social,1358.24810791016,2,2
44701194,0,low,3,Social,1364.17218017578,2,1
44895316,0,low,4,Social,1370.09631347656,1,1
45089437,0,low,5,Social,1376.02041625977,0,0
45382395,0,low,6,Social,1384.96078491211,0,0
45576514,0,low,7,Social,1390.88482666016,2,2
45770610,1,low,8,Social,1396.80816650391,4,2
45964755,1,low,9,Social,1402.73300170898,5,1
46158852,0,low,10,Social,1408.65637207031,8,7
46352994,0,low,11,Social,1414.58111572266,0,0
46547121,0,low,12,Social,1420.50540161133,0,0
46741241,0,low,13,Social,1426.42947387695,2,1
46935363,0,low,14,Social,1432.35360717773,0,0
47129486,0,low,15,Social,1438.27777099609,2,1
47323605,0,low,16,Social,1444.20181274414,3,3
47517720,0,low,17,Social,1450.12573242188,0,0
47711848,0,low,18,Social,1456.05004882812,1,1
47905941,1,low,19,Social,1461.97329711914,2,1
48100068,0,low,20,Social,1467.89758300781,0,0
48361647,0,low,21,Social,1475.88034057617,3,1
48555769,0,low,22,Social,1481.80447387695,4,1
48749863,1,low,23,Social,1487.72775268555,1,0
48943984,0,low,24,Social,1493.65185546875,3,2
49138107,1,low,25,Social,1499.57601928711,0,0
49332227,0,low,26,Social,1505.50009155273,2,0
49526374,0,low,27,Social,1511.42498779297,0,0
49720496,0,low,28,Social,1517.34912109375,3,3
49914615,0,low,29,Social,1523.2731628418,1,0
50108738,0,low,30,Social,1529.19732666016,4,1
50302861,0,low,31,Social,1535.12149047852,2,1
50496980,0,low,32,Social,1541.04553222656,4,2
50691107,0,low,33,Social,1546.96981811523,4,3
50885222,0,low,34,Social,1552.89373779297,9,4
51079343,0,low,35,Social,1558.81784057617,2,0
51273438,1,low,36,Social,1564.74114990234,3,2
51467559,0,low,37,Social,1570.66525268555,2,0
51661680,1,low,38,Social,1576.58935546875,2,2
51855801,0,low,39,Social,1582.51345825195,2,1
52049953,0,low,40,Social,1588.43850708008,4,2
52244069,0,low,41,Social,1594.36245727539,4,3
52438165,1,low,42,Social,1600.28579711914,5,2
52632285,0,low,43,Social,1606.20986938477,2,0
52826433,0,low,44,Social,1612.13479614258,9,8
53020554,0,low,45,Social,1618.05889892578,10,2
77413170,0,low,46,Social,2362.46246337891,2,0
77607317,0,low,47,Social,2368.38735961914,4,4
77801439,0,low,48,Social,2374.31149291992,3,3
77995561,0,low,49,Social,2380.2356262207,0,0
78189654,1,low,50,Social,2386.15887451172,10,8
78426095,0,low,51,Social,2393.37448120117,4,0
78620215,1,low,52,Social,2399.2985534668,1,1
78814336,0,low,53,Social,2405.22265625,3,0
79008485,0,low,54,Social,2411.14761352539,1,1
79202605,0,low,55,Social,2417.07168579102,1,0
79396700,1,low,56,Social,2422.99499511719,4,2
79590822,0,low,57,Social,2428.91912841797,5,2
79784966,0,low,58,Social,2434.84393310547,3,3
79979063,1,low,59,Social,2440.7673034668,3,1
80173185,0,low,60,Social,2446.69143676758,12,6
80367333,0,low,61,Social,2452.61636352539,1,0
80561426,1,low,62,Social,2458.53961181641,3,3
80755548,0,low,63,Social,2464.46374511719,7,2
80949696,0,low,64,Social,2470.388671875,0,0
81143816,0,low,65,Social,2476.31274414062,3,3
81396914,0,low,66,Social,2484.03668212891,6,2
81591006,1,low,67,Social,2489.95989990234,2,1
81785127,0,low,68,Social,2495.88400268555,3,1
81979273,0,low,69,Social,2501.8088684082,4,3
82173369,1,low,70,Social,2507.73220825195,0,0
82367490,0,low,71,Social,2513.65631103516,1,0
82561638,0,low,72,Social,2519.58123779297,1,1
82755732,1,low,73,Social,2525.50451660156,8,7
82949880,1,low,74,Social,2531.42944335938,2,1
83143974,0,low,75,Social,2537.35272216797,6,6
83338095,1,low,76,Social,2543.27682495117,2,2
83532244,1,low,77,Social,2549.20178222656,2,0
83726339,0,low,78,Social,2555.12509155273,3,0
83920485,0,low,79,Social,2561.04995727539,3,2
84114606,0,low,80,Social,2566.97406005859,1,1
84308701,1,low,81,Social,2572.89736938477,0,0
84502849,1,low,82,Social,2578.82229614258,2,1
84696944,0,low,83,Social,2584.74560546875,0,0
84891065,1,low,84,Social,2590.66970825195,4,2
85085187,0,low,85,Social,2596.59384155273,4,3
85279335,0,low,86,Social,2602.51876831055,3,2
85473454,0,low,87,Social,2608.44281005859,2,0
85667574,0,low,88,Social,2614.36688232422,2,1
85861697,0,low,89,Social,2620.29104614258,2,1
86055791,1,low,90,Social,2626.21432495117,6,4
34659804,1,med,1,Social,1057.73327636719,1,1
34853959,0,med,2,Social,1063.65841674805,4,3
35048080,1,med,3,Social,1069.58251953125,1,1
35242201,0,med,4,Social,1075.50662231445,1,1
35436322,1,med,5,Social,1081.43072509766,2,2
35948792,0,med,6,Social,1097.07006835938,0,0
36142912,1,med,7,Social,1102.994140625,0,0
36337051,1,med,8,Social,1108.91879272461,7,4
36531155,0,med,9,Social,1114.84237670898,0,0
36725276,1,med,10,Social,1120.76647949219,1,1
36919396,0,med,11,Social,1126.69055175781,2,0
37113520,1,med,12,Social,1132.61474609375,0,0
37307666,1,med,13,Social,1138.53961181641,1,0
37501760,0,med,14,Social,1144.462890625,1,1
37695907,0,med,15,Social,1150.38778686523,0,0
37890002,1,med,16,Social,1156.31109619141,2,0
38084123,0,med,17,Social,1162.23519897461,0,0
38278245,1,med,18,Social,1168.15933227539,0,0
38472367,0,med,19,Social,1174.08346557617,1,1
38666513,0,med,20,Social,1180.00833129883,0,0
