Timecode,WinLose,WinProb,Trial,Condition,Time,Tot_spikes,Post_spikes
293352160,0,low,1,NonSocial,8952.3974609375,2,2
293546941,0,low,2,NonSocial,8958.34170532227,0,0
293741724,0,low,3,NonSocial,8964.28601074219,0,0
293936507,0,low,4,NonSocial,8970.23031616211,0,0
294131328,1,low,5,NonSocial,8976.17578125,0,0
294424323,0,low,6,NonSocial,8985.11727905273,0,0
294619136,0,low,7,NonSocial,8991.0625,0,0
294813924,1,low,8,NonSocial,8997.00695800781,0,0
295008708,0,low,9,NonSocial,9002.95129394531,0,0
295203488,0,low,10,NonSocial,9008.8955078125,0,0
295398306,0,low,11,NonSocial,9014.84088134766,0,0
295593095,1,low,12,NonSocial,9020.78536987305,1,1
295787871,1,low,13,NonSocial,9026.72946166992,0,0
296032896,0,low,14,NonSocial,9034.20703125,0,0
296277881,0,low,15,NonSocial,9041.68338012695,0,0
296472663,0,low,16,NonSocial,9047.6276550293,7,6
296667447,0,low,17,NonSocial,9053.5719909668,0,0
296862262,0,low,18,NonSocial,9059.51727294922,0,0
297057052,1,low,19,NonSocial,9065.46179199219,4,4
297251839,0,low,20,NonSocial,9071.40621948242,0,0
297526833,0,low,21,NonSocial,9079.79837036133,0,0
297721627,1,low,22,NonSocial,9085.74301147461,0,0
297916444,0,low,23,NonSocial,9091.68835449219,0,0
298111219,0,low,24,NonSocial,9097.63241577148,0,0
298306004,0,low,25,NonSocial,9103.57678222656,0,0
298500824,0,low,26,NonSocial,9109.52221679688,6,0
298695604,0,low,27,NonSocial,9115.46643066406,0,0
298890390,1,low,28,NonSocial,9121.41082763672,1,0
299085211,0,low,29,NonSocial,9127.35629272461,0,0
299279988,0,low,30,NonSocial,9133.30041503906,0,0
299474771,0,low,31,NonSocial,9139.24472045898,0,0
299669593,1,low,32,NonSocial,9145.19021606445,3,3
299864380,0,low,33,NonSocial,9151.13464355469,0,0
300059158,0,low,34,NonSocial,9157.07879638672,0,0
300253940,0,low,35,NonSocial,9163.02307128906,0,0
300448766,1,low,36,NonSocial,9168.96868896484,0,0
300643545,0,low,37,NonSocial,9174.91287231445,0,0
300838324,0,low,38,NonSocial,9180.85705566406,0,0
301033140,0,low,39,NonSocial,9186.80236816406,0,0
301227926,0,low,40,NonSocial,9192.74676513672,0,0
301422717,1,low,41,NonSocial,9198.69131469727,0,0
301617532,0,low,42,NonSocial,9204.63659667969,0,0
301812313,0,low,43,NonSocial,9210.58084106445,0,0
302007092,0,low,44,NonSocial,9216.52502441406,0,0
302201911,0,low,45,NonSocial,9222.4704284668,0,0
274050083,1,med,1,NonSocial,8363.34481811523,0,0
274244898,0,med,2,NonSocial,8369.29010009766,0,0
274439679,1,med,3,NonSocial,8375.23434448242,0,0
274634466,0,med,4,NonSocial,8381.17877197266,1,1
274829282,1,med,5,NonSocial,8387.12408447266,0,0
275082619,1,med,6,NonSocial,8394.85531616211,0,0
275277248,0,med,7,NonSocial,8400.794921875,0,0
275472028,1,med,8,NonSocial,8406.73913574219,0,0
275666842,0,med,9,NonSocial,8412.68438720703,0,0
275861626,0,med,10,NonSocial,8418.62872314453,0,0
276056408,0,med,11,NonSocial,8424.57299804688,0,0
276251196,1,med,12,NonSocial,8430.51745605469,0,0
276446009,1,med,13,NonSocial,8436.46267700195,3,0
276640798,0,med,14,NonSocial,8442.40716552734,0,0
276835579,1,med,15,NonSocial,8448.35140991211,0,0
277030393,1,med,16,NonSocial,8454.29666137695,0,0
277225177,1,med,17,NonSocial,8460.24099731445,0,0
277419964,0,med,18,NonSocial,8466.18542480469,0,0
277614774,0,med,19,NonSocial,8472.13055419922,0,0
277809564,0,med,20,NonSocial,8478.07507324219,0,0
278098200,0,med,21,NonSocial,8486.88354492188,0,0
278292983,0,med,22,NonSocial,8492.8278503418,0,0
278487801,0,med,23,NonSocial,8498.77322387695,0,0
278688221,1,med,24,NonSocial,8504.88955688477,0,0
278882846,0,med,25,NonSocial,8510.82904052734,1,0
279077621,0,med,26,NonSocial,8516.77310180664,0,0
279272404,0,med,27,NonSocial,8522.71740722656,0,0
279467220,0,med,28,NonSocial,8528.66271972656,0,0
279662004,0,med,29,NonSocial,8534.60705566406,0,0
279856794,1,med,30,NonSocial,8540.55157470703,2,0
280051615,0,med,31,NonSocial,8546.49703979492,2,2
280246396,1,med,32,NonSocial,8552.44128417969,0,0
280441174,1,med,33,NonSocial,8558.38543701172,0,0
280635993,0,med,34,NonSocial,8564.33084106445,0,0
280830775,0,med,35,NonSocial,8570.2751159668,0,0
281025557,0,med,36,NonSocial,8576.21939086914,0,0
281220379,1,med,37,NonSocial,8582.16488647461,1,0
281415158,1,med,38,NonSocial,8588.10906982422,0,0
281609947,0,med,39,NonSocial,8594.05355834961,0,0
281804733,1,med,40,NonSocial,8599.99795532227,1,0
281999541,1,med,41,NonSocial,8605.94302368164,1,0
282194331,0,med,42,NonSocial,8611.88754272461,1,0
282389111,0,med,43,NonSocial,8617.8317565918,1,1
282583929,0,med,44,NonSocial,8623.77713012695,0,0
282778710,0,med,45,NonSocial,8629.72137451172,2,1
283282876,1,high,1,NonSocial,8645.10729980469,1,0
283477691,1,high,2,NonSocial,8651.05258178711,0,0
283672474,1,high,3,NonSocial,8656.99688720703,0,0
283867256,1,high,4,NonSocial,8662.94116210938,1,1
284062040,1,high,5,NonSocial,8668.88549804688,0,0
284361625,1,high,6,NonSocial,8678.02810668945,0,0
284556415,0,high,7,NonSocial,8683.97262573242,0,0
284751196,1,high,8,NonSocial,8689.91687011719,0,0
284946006,1,high,9,NonSocial,8695.86199951172,1,0
285140794,1,high,10,NonSocial,8701.80645751953,1,1
285335577,1,high,11,NonSocial,8707.75076293945,0,0
285530400,0,high,12,NonSocial,8713.6962890625,0,0
285725177,0,high,13,NonSocial,8719.64041137695,0,0
285919960,0,high,14,NonSocial,8725.58471679688,1,0
286114750,1,high,15,NonSocial,8731.52923583984,0,0
286309561,1,high,16,NonSocial,8737.47439575195,1,0
286504342,1,high,17,NonSocial,8743.41864013672,0,0
286699128,1,high,18,NonSocial,8749.36303710938,0,0
286893945,1,high,19,NonSocial,8755.30838012695,0,0
287088729,1,high,20,NonSocial,8761.25271606445,0,0
287378482,0,high,21,NonSocial,8770.09527587891,0,0
287573270,1,high,22,NonSocial,8776.03973388672,4,2
287768046,1,high,23,NonSocial,8781.98382568359,0,0
287962835,0,high,24,NonSocial,8787.92831420898,0,0
288157648,0,high,25,NonSocial,8793.87353515625,0,0
288352437,1,high,26,NonSocial,8799.81802368164,0,0
288547219,0,high,27,NonSocial,8805.76229858398,0,0
288742032,0,high,28,NonSocial,8811.70751953125,0,0
288936822,1,high,29,NonSocial,8817.65203857422,0,0
289131604,0,high,30,NonSocial,8823.59631347656,0,0
289326420,1,high,31,NonSocial,8829.54162597656,0,0
289521199,1,high,32,NonSocial,8835.48580932617,0,0
289715982,1,high,33,NonSocial,8841.43011474609,0,0
289910767,1,high,34,NonSocial,8847.37448120117,0,0
290105593,0,high,35,NonSocial,8853.32009887695,0,0
290300372,1,high,36,NonSocial,8859.26428222656,1,1
290495151,1,high,37,NonSocial,8865.20846557617,0,0
290689970,1,high,38,NonSocial,8871.15386962891,0,0
290884753,1,high,39,NonSocial,8877.09817504883,1,0
291079535,1,high,40,NonSocial,8883.04244995117,0,0
291274352,1,high,41,NonSocial,8888.98779296875,0,0
291469135,1,high,42,NonSocial,8894.93209838867,0,0
291663923,1,high,43,NonSocial,8900.87655639648,1,1
291858739,1,high,44,NonSocial,8906.82186889648,0,0
292053523,1,high,45,NonSocial,8912.76620483398,2,2
209807920,0,low,1,Social,6402.82958984375,0,0
210002769,0,low,2,Social,6408.77590942383,5,5
210197549,0,low,3,Social,6414.72012329102,0,0
210392336,0,low,4,Social,6420.66455078125,1,1
210587153,0,low,5,Social,6426.60989379883,1,1
210965806,0,low,6,Social,6438.16546630859,0,0
211160621,0,low,7,Social,6444.11074829102,0,0
211355407,0,low,8,Social,6450.05514526367,0,0
211550189,0,low,9,Social,6455.99942016602,0,0
211745000,1,low,10,Social,6461.94458007812,6,6
211939800,0,low,11,Social,6467.88940429688,0,0
212134579,1,low,12,Social,6473.83358764648,1,1
212329362,0,low,13,Social,6479.77789306641,0,0
